ColBERT Multi-TOPK Evaluation Results
================================================================================
TOPK   Queries  MAP      MRR      P@1      P@5      P@10    
================================================================================
5      100      0.0842   0.7987   0.7000   0.5600   0.5600  
10     100      0.1140   0.8062   0.7000   0.5600   0.4630  
20     100      0.1455   0.8069   0.7000   0.5600   0.4630  
25     100      0.1549   0.8069   0.7000   0.5600   0.4630  
40     100      0.1729   0.8069   0.7000   0.5600   0.4630  
50     100      0.1806   0.8069   0.7000   0.5600   0.4630  
80     100      0.1970   0.8069   0.7000   0.5600   0.4630  
100    100      0.2040   0.8069   0.7000   0.5600   0.4630  
150    100      0.2138   0.8069   0.7000   0.5600   0.4630  
180    100      0.2185   0.8069   0.7000   0.5600   0.4630  
200    100      0.2209   0.8069   0.7000   0.5600   0.4630  
250    100      0.2265   0.8069   0.7000   0.5600   0.4630  
400    100      0.2387   0.8069   0.7000   0.5600   0.4630  
500    100      0.2444   0.8069   0.7000   0.5600   0.4630  
1000   100      0.2558   0.8069   0.7000   0.5600   0.4630  
