CNN Multi-TOPK Evaluation Results
Model: colbert_run/cnn_classifierrr.pt
================================================================================
TOPK   Queries  MAP      MRR      P@1      P@5      P@10    
================================================================================
5      100      0.0898   0.8273   0.7500   0.5940   0.5940  
10     100      0.1302   0.8321   0.7500   0.5940   0.5290  
20     100      0.1801   0.8327   0.7500   0.5940   0.5290  
25     100      0.1980   0.8331   0.7500   0.5940   0.5290  
40     100      0.2372   0.8331   0.7500   0.5940   0.5290  
50     100      0.2565   0.8331   0.7500   0.5940   0.5290  
80     100      0.2953   0.8332   0.7500   0.5940   0.5290  
100    100      0.3135   0.8332   0.7500   0.5940   0.5290  
150    100      0.3411   0.8332   0.7500   0.5940   0.5290  
180    100      0.3507   0.8332   0.7500   0.5940   0.5290  
200    100      0.3562   0.8332   0.7500   0.5940   0.5290  
250    100      0.3655   0.8332   0.7500   0.5940   0.5290  
