ColBERT Multi-TOPK Evaluation Results
================================================================================
TOPK   Queries  MAP      MRR      P@1      P@5      P@10    
================================================================================
5      100      0.0942   0.8220   0.7100   0.5880   0.5880  
10     100      0.1305   0.8270   0.7100   0.5880   0.4970  
20     100      0.1695   0.8270   0.7100   0.5880   0.4970  
25     100      0.1810   0.8270   0.7100   0.5880   0.4970  
40     100      0.2051   0.8270   0.7100   0.5880   0.4970  
50     100      0.2159   0.8270   0.7100   0.5880   0.4970  
80     100      0.2361   0.8270   0.7100   0.5880   0.4970  
100    100      0.2453   0.8270   0.7100   0.5880   0.4970  
150    100      0.2597   0.8270   0.7100   0.5880   0.4970  
180    100      0.2652   0.8270   0.7100   0.5880   0.4970  
200    100      0.2685   0.8270   0.7100   0.5880   0.4970  
250    100      0.2744   0.8270   0.7100   0.5880   0.4970  
